country,ISO_A3,description
China,CHN,"On February 17, China’s Ministry of Education launched a national online learning platform and started broadcasting primary school classes on public TV to help 180 million students “keep learning even with classes suspended”"
China,CHN,"On March 4, the leading group of the CPC Central Committee on the Prevention and Control of the COVID-19 Outbreak released a guideline to implement measures to protect and care for community workers who fight the epidemic at the frontline in urban and rural areas."
China,CHN,"On April 11, Suzhou Institute of Biomedical Engineering and Technology, Chinese Academy of Sciences announced that a new nucleic acid test kit for COVID-19, which can confirm cases in 45 minutes on average, has been developed. It has completed clinical trials on more than 600 samples with an accuracy rate of more than 99 percent and has been approved by the National Medical Products Administration for sale and clinical use."
China,CHN,"China, starting from Jan. 23: Huanggang, one of the worst hit cities in Hubei, had imposed a similar lockdown starting on Thursday at midnight. As of that time, there had been 3,009 confirmed cases in Xiaogan and 2,791 ones in Huanggang. Starting from March 22, Huanggang City will cancel the physical closure of the community from now on, and the community will be managed by the property company or the owners’ committee. The entry and exit of the community will not be restricted by one household or one person."
China,CHN,"On April 6, China published new rules to intensify detection of asymptomatic novel coronavirus cases and standardize management procedures. 

New rules include swift reporting of symptom-free cases and tracking of their close contacts, vigorous testing to screen out undetected cases and prolonged medical monitoring. 
"
Germany,DEU,"Reporting obligation for medical personnel in cases they encounter a patient who is infected with or has deceased to ""2019-nCoV"" starting Feb 1st, 2020. This is under the ""infectious disease protection law"" and applicable on recognition of symptoms as defined by the Robert-Koch Institute (see § 4 Absatz 2 Nummer 1 of the Infectious Disease Protection Law)."
Germany,DEU,"On March 23th, 2020 the German federal government released a law the offers support and incentives to hospitals, doctors, care centers and health insurers to ease financial strain during the crisis and provide more necessary resources (e.g. intensive care beds, etc.)"
Germany,DEU,"On the 30th March 2020, Germany is establishing a drive to increase the supply for protective medical equipment. They have launched a new ""Protective Medical Equipment Procurement"" Taskforce to co-ordinate with private business as to promote, organise and co-ordinate local production of protective medical equipment. This includes offers for an firm that can supply more than 25,000 FFP2 respirator masks, mouth and nose protection surgical masks and protective gowns by before the end of April at a fixed price."
Germany,DEU,"The German Foreign Office paid for flights home for 67,000 people and will now bill them for 40% of the cost. The billing was announced on June 27th but the repatriation flights have taken place over the last few months."
Germany,DEU,"Germany: In cooperation with the states the federal government has decided to released social distancing measures. People should only have contact with people living in the same household or one person from outside of this household. This one person can be seen outside. They should keep 1,5m distance. Any parties or group meetings are not allowed."
