Group num: 0, TC(X;Y_j): 1.346
russian, 0.115, 1.000, 0.115
ukraine, 0.113, 1.000, 0.113
russia, 0.098, 1.000, 0.098
pearl, 0.091, 1.000, 0.091
war, 0.061, 1.000, 0.061
mariupol, 0.050, 1.000, 0.050
ukrainian, 0.046, 1.000, 0.046
putin, 0.036, 1.000, 0.036
city, 0.036, 1.000, 0.036
attack, 0.028, 1.000, 0.028
japan, 0.027, 1.000, 0.027
sea, 0.024, 1.000, 0.024
ship, 0.024, 1.000, 0.024
military, 0.023, 1.000, 0.023
nato, 0.022, 1.000, 0.022
country, 0.022, 1.000, 0.022
force, 0.020, 1.000, 0.020
oil, 0.020, 1.000, 0.020
bombed, 0.018, 1.000, 0.018
besieged, 0.017, 1.000, 0.017
sanction, 0.015, 1.000, 0.015
attacked, 0.014, 1.000, 0.014
surrender, 0.013, 1.000, 0.013
black, 0.013, 1.000, 0.013
japanese, 0.013, 1.000, 0.013
invasion, 0.012, 1.000, 0.012
ww2, 0.012, 1.000, 0.012
american, 0.012, 1.000, 0.012
odessa, 0.012, 1.000, 0.012
wwii, 0.012, 1.000, 0.012
europe, 0.012, 1.000, 0.012
troop, 0.011, 1.000, 0.011
crimea, 0.011, 1.000, 0.011
strategic, 0.011, 1.000, 0.011
china, 0.010, 1.000, 0.010
germany, 0.009, 1.000, 0.009
fighting, 0.009, 1.000, 0.009
hitler, 0.009, 1.000, 0.009
navy, 0.009, 1.000, 0.009
america, 0.009, 1.000, 0.009
missile, 0.009, 1.000, 0.009
warm, 0.009, 1.000, 0.009
water, 0.008, 1.000, 0.008
naval, 0.008, 1.000, 0.008
civilian, 0.008, 1.000, 0.008
1941, 0.007, 1.000, 0.007
tanker, 0.007, 1.000, 0.007
export, 0.007, 1.000, 0.007
yemen, 0.007, 1.000, 0.007
history, 0.007, 1.000, 0.007
weapon, 0.007, 1.000, 0.007
bomb, 0.007, 1.000, 0.007
said, 0.007, 1.000, 0.007
poland, 0.007, 1.000, 0.007
usa, 0.007, 1.000, 0.007
nuclear, 0.007, 1.000, 0.007
european, 0.007, 1.000, 0.007
berdyansk, 0.007, 1.000, 0.007
endthesiegeonyemen, 0.007, 1.000, 0.007
uk, 0.006, 1.000, 0.006
world, 0.006, 1.000, 0.006
reject, 0.006, 1.000, 0.006
pipeline, 0.006, 1.000, 0.006
rejected, 0.006, 1.000, 0.006
fdr, 0.006, 1.000, 0.006
moscow, 0.006, 1.000, 0.006
president, 0.006, 1.000, 0.006
demand, 0.006, 1.000, 0.006
gas, 0.006, 1.000, 0.006
blockade, 0.006, 1.000, 0.006
nazi, 0.006, 1.000, 0.006
eu, 0.006, 1.000, 0.006
access, 0.006, 1.000, 0.006
humanitarian, 0.006, 1.000, 0.006
fuel, 0.006, 1.000, 0.006
border, 0.006, 1.000, 0.006
turkey, 0.006, 1.000, 0.006
control, 0.005, 1.000, 0.005
german, 0.005, 1.000, 0.005
bombing, 0.005, 1.000, 0.005
siege, 0.005, 1.000, 0.005
conflict, 0.005, 1.000, 0.005
kyiv, 0.005, 1.000, 0.005
oligarch, 0.005, 1.000, 0.005
azov, 0.005, 1.000, 0.005
foreign, 0.005, 1.000, 0.005
grain, 0.005, 1.000, 0.005
refugee, 0.005, 1.000, 0.005
fleet, 0.005, 1.000, 0.005
tank, 0.005, 1.000, 0.005
sheltering, 0.005, 1.000, 0.005
supply, 0.005, 1.000, 0.005
defense, 0.005, 1.000, 0.005
warship, 0.005, 1.000, 0.005
leaked, 0.004, 1.000, 0.004
passage, 0.004, 1.000, 0.004
involved, 0.004, 1.000, 0.004
government, 0.004, 1.000, 0.004
baltic, 0.004, 1.000, 0.004
biden, 0.004, 1.000, 0.004
invaded, 0.004, 1.000, 0.004
southern, 0.004, 1.000, 0.004
400, 0.004, 1.000, 0.004
